<NUMBER OF ZONES> 24											
<NUMBER OF NODES> 9											
<FIRST THRU NODE> 1											
<NUMBER OF LINKS> 17	
<ORIGINAL HEADER>~ 	Init node 	Term node 	Capacity 	Length 	Free Flow Time 	B	Power	Speed limit 	Toll 	Type	;
<END OF METADATA>											


~	init_node	term_node	capacity	length	free_flow_time	b	power	speed	toll	link_type	;
	1	2	5	9	9	0.15	4	0	0	1	;
	1	4	3	5	5	0.15	4	0	0	1	;
	2	3	6	6	6	0.15	4	0	0	1	;
	2	4	4	8	8	0.15	4	0	0	1	;
	2	5	3	6	6	0.15	4	0	0	1	;
	2	8	4	9	9	0.15	4	0	0	1	;
	3	6	4	5	5	0.15	4	0	0	1	;
	3	7	3	8	8	0.15	4	0	0	1	;
	4	5	5	8	8	0.15	4	0	0	1	;
	4	6	4	9	9	0.15	4	0	0	1	;
	5	7	6	8	8	0.15	4	0	0	1	;
	5	8	4	8	8	0.15	4	0	0	1	;
	6	7	5	7	7	0.15	4	0	0	1	;
	6	9	3	9	9	0.15	4	0	0	1	;
	7	8	5	9	9	0.15	4	0	0	1	;
	7	9	6	8	8	0.15	4	0	0	1	;
	8	9	6	6	6	0.15	4	0	0	1	;
